date,site_id,name,weather,sampling_notes,stream_width,stream_depth,flow_rate,collection_time_1,collection_time_2,collection_time_3,collection_time_4,worms,flatworms,leeches,crayfish,sowbugs,scuds,stoneflies,mayflies,dragonflies,damselflies,hellgrammites,fishflies,alderflies,common_netspinners,most_caddisflies,beetles,midges,blackflies,most_true_flies,gilled_snails,lunged_snails,clams,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
2026-04-01,101,Clear Creek A,sunny,baseline sample,4.5,0.6,1.2,10,12,11,9,5,1,0,2,6,8,12,15,4,3,1,0,0,6,10,7,20,5,8,3,1,0,75,68,80,72,65,70
2026-04-01,102,Clear Creek B,cloudy,slightly turbid,5.2,0.7,1.5,11,10,12,10,6,2,1,3,5,7,10,13,5,4,1,0,0,5,9,6,18,6,7,2,2,1,70,65,78,69,60,68
2026-04-02,103,Pine Run A,rainy,high flow,6.1,0.9,2.3,9,8,10,9,8,1,2,4,7,9,14,18,6,5,2,1,0,7,11,8,25,7,9,3,2,1,80,72,85,75,70,74
2026-04-02,104,Pine Run B,overcast,debris present,5.8,0.8,2.0,10,9,9,8,7,2,1,3,6,8,13,16,5,4,2,1,0,6,10,7,22,6,8,3,2,1,78,70,83,73,68,72
2026-04-03,105,Maple Stream A,sunny,clear water,3.9,0.5,1.0,12,11,13,12,4,1,0,2,5,6,11,14,4,3,1,0,0,5,8,6,19,5,7,2,1,0,74,66,79,71,64,69
2026-04-03,106,Maple Stream B,windy,low vegetation,4.2,0.6,1.1,11,10,12,11,5,1,0,2,4,6,10,13,3,3,1,0,0,4,7,5,17,4,6,2,1,0,72,64,77,70,62,67
2026-04-04,107,Oak Creek A,cloudy,moderate algae,5.5,0.7,1.6,10,11,10,9,6,2,1,3,6,7,12,15,5,4,2,0,0,6,9,7,21,6,8,3,2,1,76,69,81,72,66,71
2026-04-04,108,Oak Creek B,rainy,runoff visible,6.3,1.0,2.5,8,9,8,7,9,2,2,5,7,9,15,19,7,6,3,1,1,7,12,9,26,8,10,4,3,2,82,74,88,78,72,76
2026-04-05,109,Birch Stream A,sunny,clear banks,4.0,0.5,1.1,12,13,12,11,4,1,0,2,5,6,11,13,4,3,1,0,0,5,8,6,18,5,7,2,1,0,73,65,78,70,63,68
2026-04-05,110,Birch Stream B,overcast,leaf litter,4.6,0.6,1.3,11,11,10,10,5,1,1,2,6,7,12,14,4,4,1,0,0,6,9,7,20,6,7,3,2,1,75,67,80,72,65,69
2026-04-06,111,Cedar Run A,sunny,stable flow,5.1,0.7,1.4,10,12,11,10,6,2,1,3,5,7,13,16,5,4,2,0,0,6,10,7,22,6,8,3,2,1,77,70,82,73,67,71
2026-04-06,112,Cedar Run B,cloudy,slight turbidity,5.7,0.8,1.8,9,10,9,8,7,2,1,3,6,8,14,17,6,5,2,1,0,7,11,8,23,7,9,3,2,1,79,71,84,75,69,73
2026-04-07,113,Willow Creek A,rainy,fast current,6.4,1.1,2.7,8,7,9,8,10,3,2,5,8,10,16,20,7,6,3,1,1,8,13,10,28,9,11,4,3,2,84,76,90,80,74,78
2026-04-07,114,Willow Creek B,windy,bank erosion,6.0,1.0,2.2,9,8,9,9,9,2,2,4,7,9,15,18,6,5,2,1,1,7,12,9,25,8,10,4,3,2,81,74,87,77,72,75
2026-04-08,115,Ash Stream A,sunny,clear water,3.8,0.5,1.0,12,11,12,12,4,1,0,2,5,6,11,13,4,3,1,0,0,5,8,6,18,5,7,2,1,0,73,66,79,71,64,68
2026-04-08,116,Ash Stream B,cloudy,low flow,3.5,0.4,0.9,13,12,13,12,3,1,0,1,4,5,9,12,3,2,1,0,0,4,7,5,16,4,6,2,1,0,70,63,76,68,60,65
2026-04-09,117,Elm Creek A,overcast,moderate clarity,5.0,0.7,1.5,10,11,10,9,6,2,1,3,6,7,13,15,5,4,2,0,0,6,10,7,21,6,8,3,2,1,76,69,81,73,66,70
2026-04-09,118,Elm Creek B,rainy,high sediment,6.2,1.0,2.4,8,9,8,7,9,3,2,5,7,9,16,19,7,6,3,1,1,8,13,10,27,9,11,4,3,2,83,75,89,79,73,77
2026-04-10,119,Poplar Run A,sunny,clear,4.3,0.6,1.2,11,12,11,10,5,1,0,2,5,6,12,14,4,3,1,0,0,5,9,6,19,5,7,2,1,0,74,67,80,71,65,69
2026-04-10,120,Poplar Run B,cloudy,organic debris,4.9,0.7,1.4,10,10,9,9,6,2,1,3,6,7,13,15,5,4,2,0,0,6,10,7,21,6,8,3,2,1,76,69,82,73,67,71
